bag_age_mean,bag_age_range,bag_age_std,bag_capital_activity_ratio,bag_capital_gain_max,bag_capital_gain_mean,bag_capital_loss_max,bag_capital_loss_mean,bag_dependency_ratio,bag_duration_mean,bag_education_mean,bag_education_range,bag_education_std,bag_education_vs_below,bag_full_time_ratio,bag_has_capital_activity,bag_hours_mean,bag_hours_range,bag_hours_std,bag_low_ed_ratio,bag_mode_education_target_enc,bag_mode_interview_mode_target_enc,bag_mode_marital_status_target_enc,bag_mode_native_country_target_enc,bag_mode_occupation_target_enc,bag_mode_race_target_enc,bag_mode_relationship_target_enc,bag_mode_sex_target_enc,bag_mode_workclass_target_enc,bag_net_capital_max,bag_net_capital_mean,bag_size,bag_unique_occupations,bag_unique_relationships,bag_unique_workclass,bag_zero_capital_ratio,log_bag_capital_gain_max,log_bag_capital_gain_mean,log_bag_capital_loss_max,log_bag_capital_loss_mean,log_bag_net_capital_max,log_bag_net_capital_mean
39.6,42,16.75708805252273,0.2,4386,877.2,0,0.0,0.6666666666666666,50.0,11.4,4,2.1908902300206643,0.0,0.6,1,35.0,25,10.0,0.4,1.2015315315315316,1.0416666666666667,1.1553778895676128,1.0400168701002281,0.8722687122268712,1.0452503533212194,1.133575822096049,1.1049415832141154,1.1810897435897434,4386,877.2,5,5,3,3,0.8,8.386400901166214,6.777874358127617,0.0,0.0,8.386400901166214,6.777874358127617
40.666666666666664,31,15.821925715074423,0.16666666666666666,0,0.0,0,0.0,0.5,53.0,10.333333333333334,4,2.309401076758503,1.0,0.8571428571428571,0,38.0,30,15.874507866387544,0.4,0.9516512734396866,1.0416666666666667,1.1553778895676128,1.0400168701002281,0.9320175438596493,1.0452503533212194,1.133575822096049,1.1049415832141154,1.0251416052153468,0,0.0,3,3,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47.8,49,19.84187491140895,0.0,7298,1459.6,0,0.0,0.0,43.0,10.4,5,2.073644135332772,0.0,0.6666666666666666,1,41.6,8,3.577708763999663,0.6666666666666666,0.9516512734396866,1.0416666666666667,1.1553778895676128,1.0400168701002281,1.0227377654662972,1.0452503533212194,1.133575822096049,1.1049415832141154,1.0251416052153468,7298,1459.6,5,4,2,2,1.0,8.895492631451633,7.28660258918601,0.0,0.0,8.895492631451633,7.28660258918601
32.666666666666664,3,1.5275252316519465,0.2,0,0.0,0,0.0,0.0,28.0,10.666666666666666,1,0.5773502691896258,0.0,1.0,0,47.666666666666664,13,6.806859285554045,0.4,1.112530413625304,1.0416666666666667,1.1553778895676128,1.0400168701002281,1.0227377654662972,1.0452503533212194,1.133575822096049,1.1049415832141154,1.0251416052153468,0,0.0,3,3,2,1,0.8,0.0,0.0,0.0,0.0,0.0,0.0
37.333333333333336,16,8.082903768654761,0.16666666666666666,0,0.0,0,0.0,0.0,38.0,9.666666666666666,1,0.5773502691896258,1.0,0.8571428571428571,0,55.0,10,5.0,0.4,0.9557189542483661,1.0416666666666667,1.1553778895676128,1.0400168701002281,0.8722687122268712,1.0452503533212194,1.133575822096049,1.1049415832141154,1.1810897435897434,0,0.0,3,3,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47.4,46,17.770762504743573,0.0,15024,3004.8,0,0.0,0.25,40.8,9.8,4,1.4832396974191326,0.0,1.0,1,37.8,21,8.01249024960405,0.0,0.9557189542483661,1.0416666666666667,1.1553778895676128,1.0400168701002281,1.016060606060606,1.0452503533212194,1.133575822096049,1.1049415832141154,1.0251416052153468,15024,3004.8,5,4,3,1,1.0,9.617470759403409,8.008299034499995,0.0,0.0,9.617470759403409,8.008299034499995
38.0,31,11.933147112141038,0.0,3325,554.1666666666666,0,0.0,0.0,40.333333333333336,8.666666666666666,7,2.422120283277993,0.0,1.0,1,42.5,15,5.244044240850758,0.3333333333333333,0.9516512734396866,1.0416666666666667,1.1553778895676128,1.0400168701002281,1.0227377654662972,1.0452503533212194,1.133575822096049,1.1049415832141154,1.0251416052153468,3325,554.1666666666666,6,4,4,1,1.0,8.109525659752872,6.319268368965624,0.0,0.0,8.109525659752872,6.319268368965624
29.5,30,11.588787684654509,0.2,2354,392.3333333333333,1721,286.8333333333333,0.5,44.0,9.333333333333334,7,2.5819888974716116,0.0,0.8,1,39.666666666666664,26,9.584710046040342,0.4,0.7774914089347079,1.0416666666666667,0.4412820512820513,1.0400168701002281,0.8722687122268712,1.0452503533212194,0.5935416666666667,0.7387271689497718,1.0251416052153468,2354,105.5,6,6,3,2,0.8,7.764296006450518,5.974657428791601,7.451241684987676,5.662381608918624,7.764296006450518,4.66814498514948
34.333333333333336,16,6.531972647421808,0.16666666666666666,7688,1281.3333333333333,0,0.0,0.2,40.666666666666664,10.0,4,1.6733200530681511,1.0,0.8571428571428571,1,41.666666666666664,40,13.291601358251256,0.4,0.9516512734396866,1.0416666666666667,0.4412820512820513,1.0400168701002281,0.8722687122268712,1.0452503533212194,1.133575822096049,0.7387271689497718,1.0251416052153468,7688,1281.3333333333333,6,6,4,2,1.0,8.94754601503218,7.1564366140841855,0.0,0.0,8.94754601503218,7.1564366140841855
43.5,39,18.91207727000571,0.16666666666666666,5013,1253.25,0,0.0,1.0,36.75,9.5,12,5.446711546122731,0.16666666666666666,1.0,1,36.25,25,11.086778913041726,0.6666666666666666,0.8293650793650794,1.0416666666666667,1.1553778895676128,1.0400168701002281,1.233136224266316,1.0452503533212194,1.133575822096049,1.1049415832141154,1.0251416052153468,5013,1253.25,4,4,2,3,0.8333333333333334,8.519989278718239,7.134293063364362,0.0,0.0,8.519989278718239,7.134293063364362
